SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
509020,RUCHI INFRA.,T ,Q,7.75,7.97,7.60,7.79,7.83,7.85,136,26254,204305.00,,INE413B01023,30-Oct-20,,
509048,LANCOR HOLDS,XT,Q,4.00,4.20,3.85,4.20,4.20,4.00,13,9734,39721.00,,INE572G01025,30-Oct-20,,
509051,INDIAN INFO.,X ,Q,0.18,0.18,0.16,0.16,0.16,0.17,311,1877490,307368.00,,INE300B01022,30-Oct-20,,
509053,BANAS FIN.  ,X ,Q,5.82,5.82,5.82,5.82,5.82,5.71,2,401,2333.00,,INE521L01030,30-Oct-20,,
509055,VISAKA IND. ,B ,Q,359.00,364.00,351.10,362.60,362.60,350.20,330,2791,1001290.00,,INE392A01013,30-Oct-20,,
509073,HATHWAY BHAW,XT,Q,16.60,18.00,16.60,17.10,17.30,17.40,31,3376,58040.00,,INE525B01016,30-Oct-20,,
509077,PRESSMN     ,B ,Q,16.85,16.85,16.10,16.30,16.30,16.25,33,1968,32097.00,,INE980A01023,30-Oct-20,,
509079,GUFIC BIO SC,B ,Q,99.95,106.00,99.90,102.55,102.55,98.90,1514,62454,6420572.00,,INE742B01025,30-Oct-20,,
509148,GOVIND RUBB.,Z ,Q,2.40,2.45,2.40,2.45,2.45,2.34,2,792,1918.00,,INE011C01015,30-Oct-20,,
509152,GRPLTD      ,B ,Q,750.00,780.25,750.00,775.00,775.00,750.00,35,115,88941.00,,INE137I01015,30-Oct-20,,
509162,INDAG RUBBER,X ,Q,73.00,73.00,70.55,71.20,72.50,72.10,9,326,23258.00,,INE802D01023,30-Oct-20,,
509196,M.M.RUBBER  ,X ,Q,33.25,33.25,31.60,31.60,31.60,33.25,4,425,13443.00,,INE159E01026,30-Oct-20,,
509220,PTL LTD     ,B ,Q,39.90,40.20,38.95,39.50,39.05,39.05,65,5163,202960.00,,INE034D01031,30-Oct-20,,
509243,TVS SRICHAKR,A ,Q,1438.70,1453.05,1412.50,1416.70,1415.00,1440.15,169,454,650339.00,,INE421C01016,30-Oct-20,,
509438,BENARES HOT ,XT,Q,1226.85,1226.85,1171.20,1171.20,1171.20,1169.05,2,2,2398.00,,INE664D01019,30-Oct-20,,
509449,BHAGWATI OXY,XT,Q,15.80,15.80,14.30,15.80,15.80,15.05,8,665,10492.00,,INE026I01010,30-Oct-20,,
509470,BOMOXY-B1   ,X ,Q,9825.10,10098.00,9825.00,10001.00,10001.00,10099.00,5,6,59749.00,,INE01TL01014,30-Oct-20,,
509480,BERGE PAINT ,A ,Q,634.45,637.95,617.45,622.65,621.00,630.00,3094,87332,54835987.00,,INE463A01038,30-Oct-20,,
509486,CAPRIHANS   ,X ,Q,61.00,61.00,59.00,60.70,61.00,59.25,10,329,19614.00,,INE479A01018,30-Oct-20,,
509488,GRAPHITE IN.,A ,Q,176.50,179.00,173.70,176.20,176.50,175.75,417,12993,2288117.00,,INE371A01025,30-Oct-20,,
509496,ITDCEM      ,A ,Q,49.45,50.00,47.50,48.90,48.65,49.40,233,32973,1594912.00,,INE686A01026,30-Oct-20,,
509525,EMPIRE IND. ,X ,Q,594.70,594.70,580.00,585.80,580.05,589.00,17,315,184457.00,,INE515H01014,30-Oct-20,,
509546,GRAVISS HOSP,X ,Q,16.10,16.10,16.10,16.10,16.10,16.10,4,294,4733.00,,INE214F01026,30-Oct-20,,
509557,GARFIBRES   ,A ,Q,1899.00,1934.90,1866.00,1887.05,1890.00,1854.60,242,857,1619193.00,,INE276A01018,30-Oct-20,,
509567,GOA CARBON  ,B ,Q,209.05,210.65,206.10,208.55,209.65,207.45,193,1789,373085.00,,INE426D01013,30-Oct-20,,
509597,HARDCASTLE  ,X ,Q,170.00,170.00,170.00,170.00,170.00,177.00,1,4,680.00,,INE722D01015,30-Oct-20,,
509631,HEG LIMITED ,A ,Q,680.00,684.00,667.90,676.20,675.00,672.50,399,4407,2983846.00,,INE545A01016,30-Oct-20,,
509635,HIND.COMPOSI,B ,Q,184.95,184.95,178.00,179.90,179.90,178.55,51,260,46836.00,,INE310C01029,30-Oct-20,,
509675,HIL         ,B ,Q,1707.80,1776.40,1677.80,1729.10,1756.65,1685.35,127,288,489899.00,,INE557A01011,30-Oct-20,,
509715,JAYSHRE TEA ,B ,Q,62.70,62.70,60.40,60.90,60.40,61.95,248,12695,779440.00,,INE364A01020,30-Oct-20,,
509820,PAPERPROD   ,B ,Q,271.30,279.90,271.30,274.80,274.65,270.55,503,7305,2024909.00,,INE275B01026,30-Oct-20,,
509835,PREMIER SYN.,XT,Q,7.89,8.71,7.89,7.90,7.90,8.30,10,1045,8884.00,,INE940N01012,30-Oct-20,,
509874,SHALIMAR PAI,B ,Q,71.90,72.30,69.40,70.25,70.30,71.80,464,11554,818299.00,,INE849C01026,30-Oct-20,,
509895,HIND MILLS  ,X ,Q,173.00,185.00,170.20,178.50,185.00,175.05,10,45,7906.00,,INE832D01020,30-Oct-20,,
509930,SUPREM IND  ,A ,Q,1498.95,1498.95,1432.20,1445.95,1449.85,1469.70,292,865,1261554.00,,INE195A01028,30-Oct-20,,
509966,VST INDUS.  ,A ,Q,3416.55,3418.30,3394.50,3402.60,3407.45,3357.65,50,153,520610.00,,INE710A01016,30-Oct-20,,
510245,SWASTI VINAY,X ,Q,4.79,4.89,4.50,4.58,4.58,4.70,117,84826,401310.00,,INE804A01025,30-Oct-20,,
511012,YAMINI INVES,XT,Q,0.29,0.29,0.29,0.29,0.29,0.29,5,1160,336.00,,INE457N01025,30-Oct-20,,
511034,JINDAL DRILL,B ,Q,71.00,74.30,70.00,70.45,70.40,70.45,98,6571,473567.00,,INE742C01031,30-Oct-20,,
511066,SAKTHI FIN. ,X ,Q,13.54,14.28,13.54,14.28,14.28,13.57,5,311,4364.00,,INE302E01014,30-Oct-20,,
511072,DEWAN H.FIN.,A ,Q,15.91,15.91,15.27,15.91,15.91,15.16,1379,925544,14663485.00,,INE202B01012,30-Oct-20,,
511076,SAT IND LTD ,X ,Q,17.25,17.25,16.90,17.10,16.90,17.35,14,3548,60836.00,,INE065D01027,30-Oct-20,,
511108,SHIVA TEXYAM,B ,Q,75.10,78.00,75.00,77.35,76.60,78.00,38,176,13530.00,,INE705C01020,30-Oct-20,,
511110,V.B.DESAI   ,X ,Q,3.61,3.61,3.61,3.61,3.61,3.80,2,325,1173.00,,INE848D01018,30-Oct-20,,
511116,QUADRANT    ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,13,95701,18183.00,,INE527B01020,30-Oct-20,,
511147,WALL ST.FIN.,X ,Q,12.65,14.00,12.38,13.57,13.01,13.06,16,1291,17979.00,,INE549D01012,30-Oct-20,,
511153,ANJANIFOODS ,XT,Q,44.00,48.20,44.00,45.45,45.45,45.95,9,2637,119342.00,,INE096I01013,30-Oct-20,,
511196,CANFIN HOMES,A ,Q,464.00,470.20,453.00,456.90,455.65,462.75,1204,43319,20089323.00,,INE477A01020,30-Oct-20,,
511208,IL & FS INVE,T ,Q,4.70,4.94,4.60,4.88,4.88,4.77,100,125109,590922.00,,INE050B01023,30-Oct-20,,
511218,SHRIRAM TRAN,A ,Q,707.00,730.00,669.85,692.70,689.70,698.75,10440,266053,184761792.00,,INE721A01013,30-Oct-20,,
511243,CHOLAFIN    ,A ,Q,250.50,280.30,248.60,273.10,273.10,250.10,30472,1194918,321997153.00,,INE121A01024,30-Oct-20,,
511333,VLS FINANCE ,B ,Q,52.10,53.40,51.70,53.15,52.90,52.00,142,2671,140046.00,,INE709A01018,30-Oct-20,,
511377,MEHTA I.FIN ,XT,Q,7.17,7.17,7.17,7.17,7.17,7.31,1,10,71.00,,INE240B01012,30-Oct-20,,
511389,VIDEOCON IND,Z ,Q,3.98,4.01,3.95,4.01,4.01,3.82,529,1000366,4006530.00,,INE703A01011,30-Oct-20,,
511411,SHRISTINFRA ,X ,Q,35.00,35.00,35.00,35.00,35.00,35.00,1,1,35.00,,INE472C01027,30-Oct-20,,
511413,CREST       ,B ,Q,83.90,83.90,80.85,81.90,82.40,82.95,57,2227,182958.00,,INE559D01011,30-Oct-20,,
511431,VAKRANGEE   ,A ,Q,28.05,29.40,28.05,28.25,28.10,28.70,854,361974,10408788.00,,INE051B01021,30-Oct-20,,
511463,ALEXANDER   ,X ,Q,15.00,15.30,14.21,14.73,14.60,14.77,79,46285,670582.00,,INE191N01012,30-Oct-20,,
